# Elements 1e+06
[00000.167 ms] [1.644725] multiplySeq
[00014.480 ms] [1.644725] multiplyCuda<<<auto, 512>>> [thread-duty=24]
[00014.552 ms] [1.644725] multiplyCuda<<<auto, 512>>> [thread-duty=32]
[00014.759 ms] [1.644725] multiplyCuda<<<auto, 512>>> [thread-duty=48]
[00014.613 ms] [1.644725] multiplyCuda<<<auto, 512>>> [thread-duty=64]
[00014.350 ms] [1.644725] multiplyCuda<<<auto, 1024>>> [thread-duty=1]
[00014.348 ms] [1.644725] multiplyCuda<<<auto, 1024>>> [thread-duty=2]
[00014.350 ms] [1.644725] multiplyCuda<<<auto, 1024>>> [thread-duty=3]
[00014.350 ms] [1.644725] multiplyCuda<<<auto, 1024>>> [thread-duty=4]
[00014.351 ms] [1.644725] multiplyCuda<<<auto, 1024>>> [thread-duty=6]
[00014.350 ms] [1.644725] multiplyCuda<<<auto, 1024>>> [thread-duty=8]
[00014.350 ms] [1.644725] multiplyCuda<<<auto, 1024>>> [thread-duty=12]
[00014.397 ms] [1.644725] multiplyCuda<<<auto, 1024>>> [thread-duty=16]
[00014.542 ms] [1.644725] multiplyCuda<<<auto, 1024>>> [thread-duty=24]
[00014.618 ms] [1.644725] multiplyCuda<<<auto, 1024>>> [thread-duty=32]
[00014.668 ms] [1.644725] multiplyCuda<<<auto, 1024>>> [thread-duty=48]
[00014.880 ms] [1.644725] multiplyCuda<<<auto, 1024>>> [thread-duty=64]
