elements,time,sum,technique,block_size,thread_duty
"1000000000","18.447","1.644725","multiplyCuda","0","0"
"1000000000","18.463","1.644725","multiplyCuda","0","0"
"1000000000","18.463","1.644725","multiplyCuda","0","0"
"1000000000","18.46","1.644725","multiplyCuda","0","0"
"1000000000","18.469","1.644725","multiplyCuda","0","0"
"1000000000","18.469","1.644725","multiplyCuda","0","0"
"1000000000","15.63","1.644725","multiplyCuda","0","0"
"1000000000","15.637","1.644725","multiplyCuda","0","0"
"1000000000","15.626","1.644725","multiplyCuda","0","0"
"1000000000","15.622","1.644725","multiplyCuda","0","0"
"1000000000","15.612","1.644725","multiplyCuda","0","0"
"1000000000","15.616","1.644725","multiplyCuda","0","0"
"1000000000","15.626","1.644725","multiplyCuda","0","0"
"1000000000","15.63","1.644725","multiplyCuda","0","0"
"1000000000","15.631","1.644725","multiplyCuda","0","0"
"1000000000","15.624","1.644725","multiplyCuda","0","0"
"1000000000","15.618","1.644725","multiplyCuda","0","0"
"1000000000","15.629","1.644725","multiplyCuda","0","0"
"1000000000","14.956","1.644725","multiplyCuda","0","0"
"1000000000","14.958","1.644725","multiplyCuda","0","0"
"1000000000","14.961","1.644725","multiplyCuda","0","0"
"1000000000","14.957","1.644725","multiplyCuda","0","0"
"1000000000","14.959","1.644725","multiplyCuda","0","0"
"1000000000","14.958","1.644725","multiplyCuda","0","0"
"1000000000","14.959","1.644725","multiplyCuda","0","0"
"1000000000","14.959","1.644725","multiplyCuda","0","0"
"1000000000","14.955","1.644725","multiplyCuda","0","0"
"1000000000","14.96","1.644725","multiplyCuda","0","0"
"1000000000","14.957","1.644725","multiplyCuda","0","0"
"1000000000","14.955","1.644725","multiplyCuda","0","0"
"1000000000","14.711","1.644725","multiplyCuda","0","0"
"1000000000","14.706","1.644725","multiplyCuda","0","0"
"1000000000","14.706","1.644725","multiplyCuda","0","0"
"1000000000","14.708","1.644725","multiplyCuda","0","0"
"1000000000","14.707","1.644725","multiplyCuda","0","0"
"1000000000","14.708","1.644725","multiplyCuda","0","0"
"1000000000","14.71","1.644725","multiplyCuda","0","0"
"1000000000","14.71","1.644725","multiplyCuda","0","0"
"1000000000","14.71","1.644725","multiplyCuda","0","0"
"1000000000","14.712","1.644725","multiplyCuda","0","0"
"1000000000","14.711","1.644725","multiplyCuda","0","0"
"1000000000","14.739","1.644725","multiplyCuda","0","0"
"1000000000","14.481","1.644725","multiplyCuda","0","0"
"1000000000","14.479","1.644725","multiplyCuda","0","0"
"1000000000","14.48","1.644725","multiplyCuda","0","0"
"1000000000","14.48","1.644725","multiplyCuda","0","0"
"1000000000","14.48","1.644725","multiplyCuda","0","0"
"1000000000","14.483","1.644725","multiplyCuda","0","0"
"1000000000","14.479","1.644725","multiplyCuda","0","0"
"1000000000","14.481","1.644725","multiplyCuda","0","0"
"1000000000","14.48","1.644725","multiplyCuda","0","0"
"1000000000","14.552","1.644725","multiplyCuda","0","0"
"1000000000","14.759","1.644725","multiplyCuda","0","0"
"1000000000","14.613","1.644725","multiplyCuda","0","0"
"1000000000","14.35","1.644725","multiplyCuda","0","0"
"1000000000","14.348","1.644725","multiplyCuda","0","0"
"1000000000","14.35","1.644725","multiplyCuda","0","0"
"1000000000","14.35","1.644725","multiplyCuda","0","0"
"1000000000","14.351","1.644725","multiplyCuda","0","0"
"1000000000","14.35","1.644725","multiplyCuda","0","0"
"1000000000","14.35","1.644725","multiplyCuda","0","0"
"1000000000","14.397","1.644725","multiplyCuda","0","0"
"1000000000","14.542","1.644725","multiplyCuda","0","0"
"1000000000","14.618","1.644725","multiplyCuda","0","0"
"1000000000","14.668","1.644725","multiplyCuda","0","0"
"1000000000","14.88","1.644725","multiplyCuda","0","0"
